,Theme  Health and Nutrition1.a  S.NO.,Theme  Health and Nutrition1.a  DISTRICT NAME,Theme  Health and Nutrition1.a  BLOCK LGD CODE,Theme  Health and Nutrition1.a  BLOCK NAME,1.Percentage of pregnant women registered for Antenatal care (ANC) within the first trimester  Sept24 Score ,1.Percentage of pregnant women registered for Antenatal care (ANC) within the first trimester  June24 Score,1.Percentage of pregnant women registered for Antenatal care (ANC) within the first trimester  QoQ Change,1.Percentage of pregnant women registered for Antenatal care (ANC) within the first trimester  Baseline Score 31st March 2023,2.Percentage of institutional deliveries against total reported deliveries  Sept24 Score ,2.Percentage of institutional deliveries against total reported deliveries  June24 Score,2.Percentage of institutional deliveries against total reported deliveries  QoQ Change,2.Percentage of institutional deliveries against total reported deliveries  Baseline Score 31st March 2023,3.Percentage of lowbirth weight babies (less than 2500g)  Sept24 Score ,3.Percentage of lowbirth weight babies (less than 2500g)  June24 Score,3.Percentage of lowbirth weight babies (less than 2500g)  QoQ Change,3.Percentage of lowbirth weight babies (less than 2500g)  Baseline Score 31st March 2023,4.Percentage of National Quality Assurance Standards (NQAS) certified facilities in Block  Sept24 Score ,4.Percentage of National Quality Assurance Standards (NQAS) certified facilities in Block  June24 Score,4.Percentage of National Quality Assurance Standards (NQAS) certified facilities in Block  QoQ Change,4.Percentage of National Quality Assurance Standards (NQAS) certified facilities in Block  Baseline Score 31st March 2023,5.Percentage of person screened for Hypertension against targeted population in the Block  Sept24 Score ,5.Percentage of person screened for Hypertension against targeted population in the Block  June24 Score,5.Percentage of person screened for Hypertension against targeted population in the Block  QoQ Change,5.Percentage of person screened for Hypertension against targeted population in the Block  Baseline Score 31st March 2023,6.Percentage of person screened for Diabetes against targeted population in the Block  Sept24 Score ,6.Percentage of person screened for Diabetes against targeted population in the Block  June24 Score,6.Percentage of person screened for Diabetes against targeted population in the Block  QoQ Change,6.Percentage of person screened for Diabetes against targeted population in the Block  Baseline Score 31st March 2023,7.Percentage of TB cases treated successfully against TB cases notified a year ago  Sept24 Score ,7.Percentage of TB cases treated successfully against TB cases notified a year ago  June24 Score,7.Percentage of TB cases treated successfully against TB cases notified a year ago  QoQ Change,7.Percentage of TB cases treated successfully against TB cases notified a year ago  Baseline Score 31st March 2023
7,1,Amravati,4304,Chikhaldara,91.75,87.5,4.25,77.28,87.96,94.1,-6.14,92.98,20.73,11.83,8.9,12.81,0,0,0,0,42.32,6.94,35.38,42.01,42.4,6.82,35.58,41.88,79.69,88.89,-9.2,92.39
8,2,Amravati,4307,Dharni,96.5,87.01,9.49,85.76,96.11,96.84,-0.73,95.86,14.25,17.91,-3.66,24.6,0,0,0,0,69.36,5.96,63.4,62.18,69.26,5.95,63.31,62.07,34.15,92.23,-58.08,88.83
9,3,Beed,4331,Wadwani,97.06,81.21,15.85,87.89,100,100,0,99.5,2.13,0,2.13,10.1,0,0,0,0,13.35,3.93,9.42,64.38,13.43,3.95,9.48,64.34,50,0,50,87.72
10,4,Chandrapur,4358,Jiwati,100,100,0,98.51,100,99.11,0.89,99.64,8.18,10.71,-2.53,11.11,0,0,0,0,100,10.05,89.95,75.16,100,10.59,89.41,74.83,82.5,54.55,27.95,87.5
11,5,Gadhichiroli,4371,Aheri,98.37,95.87,2.5,95.54,99.24,99.19,0.05,99.1,22.98,21.25,1.73,27.11,0,0,0,0,39.72,7.14,32.58,53.16,41.87,7.97,33.9,53.23,33.33,100,-66.67,92.42
12,6,Gadhichiroli,4373,Bhamragarh,94.98,92.2,2.78,90.27,97.98,94.56,3.42,76.27,28.43,30.77,-2.34,21.9,0,0,0,0,20.83,7.5,13.33,44.26,24.4,8.52,15.88,44.31,20,0,20,93.33
13,7,Gadhichiroli,4382,Sironcha,95.72,94.29,1.43,93.5,98.94,97.5,1.44,97.22,22.11,13.75,8.36,18.6,0,0,0,0,21.19,1.99,19.2,50.63,24.91,2.21,22.7,50.4,33.33,89.74,-56.41,84.97
14,8,Hingoli,4393,Hingoli,99.56,96.42,3.14,93.99,100,98.13,1.87,99.71,17.98,6.1,11.88,19.07,0,0,0,0,61.87,13.68,48.19,71.16,60.68,13.75,46.93,71.02,89.47,85.71,3.76,90.39
15,9,Jalna,4412,Badnapur,92.8,91.01,1.79,87.94,100,100,0,100,3.82,14.29,-10.47,6.93,0,0,0,0,7.18,0.54,6.64,51.52,7.22,0.56,6.66,51.54,69.61,87.65,-18.04,90.51
16,10,Jalna,4418,Partur,99.84,96.39,3.45,92.56,100,100,0,99.81,0,0,0,4.79,0,0,0,0,6.84,1.05,5.79,32.85,6.69,1.05,5.64,32.82,66,82.35,-16.35,93.6
17,11,Nanded,4465,Kinwat,95.56,97.53,-1.97,94.96,100,100,0,99.57,13.53,9.61,3.92,10.3,0,0,0,0,25.68,1.52,24.16,83.63,26.16,1.6,24.56,83.54,56.99,85.88,-28.89,90.63
18,12,Nandurbar,4473,Akkalkuva,78.71,71.75,6.96,78.77,97.17,97.54,-0.37,81.97,20.68,20.12,0.56,23.63,0,0,0,0,19.44,5.89,13.55,64.16,19.37,5.8,13.57,62.16,85.48,82.54,2.94,81.66
19,13,Nandurbar,4474,Akarani,77.24,69.01,8.23,72.46,92.96,92.73,0.23,67.37,31.78,29.7,2.08,25.52,0,0,0,0,11.82,4.29,7.53,37.28,11.64,4.12,7.52,36.66,82.12,88.42,-6.3,89.73
